,EBS_GA,Ensemble,LSA,MaTGA,MFEA,MTEA_AD,S-MFEA,S-MFEA-KL,SBS_GA,,,,,,,,,,,
0,1.04E-05,0,0,0.004181734,16.28801362,116498.6009,0,0,1.90E-05,,,,,,,,,,,
1,1.35E-05,0,2.64E-06,0.00352544,16.56763855,115089.6732,0,0,1.91E-05,,,,,,,,,,,
2,1.41E-05,0,0,0.003842768,16.21638362,118876.7798,0,0,1.73E-05,,,,,,,,,,,
3,1.28E-05,0,0,0.006113835,17.6726519,118046.1647,0,0,1.70E-05,,,,,,,,,,,
4,1.23E-05,0,0,0.003283551,16.73864777,115578.6722,0,0,1.66E-05,,,,,,,,,,,
5,1.14E-05,0,0,0.003240715,16.96262923,116002.3697,0,0,2.01E-05,,,,,,,,,,,
6,1.12E-05,0,0,0.003792042,15.20365683,116237.0843,0,0,1.95E-05,,,,,,,,,,,
7,1.10E-05,0,0,0.003577011,16.71183714,116969.5332,0,0,2.08E-05,,,,,,,,,,,
8,1.13E-05,0,0,0.004138051,16.5307171,117767.762,0,0,2.29E-05,,,,,,,,,,,
9,1.22E-05,0,0,0.003899263,16.94772989,117007.1164,0,0,1.82E-05,,,,,,,,,,,
10,1.20E-05,0,0,0.003608005,17.19486099,115050.7161,0,0,1.89E-05,,,,,,,,,,,
11,1.05E-05,0,0,0.003900207,16.20997912,117122.7185,0,0,1.64E-05,,,,,,,,,,,
12,1.36E-05,0,0,0.004089939,16.47347325,116423.0138,0,0,1.77E-05,,,,,,,,,,,
13,1.31E-05,0,0,0.003472867,15.95918832,117668.8447,0,0,1.79E-05,,,,,,,,,,,
14,1.19E-05,0,0,0.003419884,16.28617578,115469.305,0,0,2.04E-05,,,,,,,,,,,
15,1.23E-05,0,0,0.004457553,17.05880347,119251.263,0,0,1.86E-05,,,,,,SM ,,,,,
16,1.30E-05,0,0,0.005024264,16.82732279,117114.9895,0,0,1.69E-05,,,,,,,EBS_GA,426,0,74,0
17,1.15E-05,0,0,0.003820239,17.02926178,117325.9939,0,0,1.87E-05,,,,,,,LSA,288,115,97,0
18,1.37E-05,0,0,0.004497135,15.10739918,118222.0908,0,0,2.03E-05,,,,,,,MaTGA,331,0,169,0.001
19,1.26E-05,0,0,0.002738047,16.92684841,118036.3599,0,0,1.66E-05,,,,,,,MTEA-AD,500,0,0,0
20,1.19E-05,0,0,0.004280446,17.09746003,117176.2519,0,0,1.78E-05,,,,,,,SBGA,390,0,110,0
21,1.14E-05,0,0,0.002794765,17.99742936,114763.107,0,0,1.72E-05,,,,,,,MFEA,500,0,0,0
22,1.09E-05,0,0,0.004739766,16.65195056,115339.2136,0,0,1.66E-05,,,,,,,,,,,
23,9.85E-06,0,0.002106001,0.004056399,16.33290314,115091.6695,0,0,1.69E-05,,,,,,SM-MFEA,,,,,
24,1.37E-05,0,0,0.004878348,15.19811066,119038.0119,0,0,1.93E-05,,,,,,,EBS_GA,425,0,75,0
25,1.22E-05,0,0,0.003597702,15.74835693,115704.4843,0,0,1.78E-05,,,,,,,LSA,301,113,86,0
26,1.23E-05,0,0,0.003520401,17.08250957,116239.6596,0,0,1.65E-05,,,,,,,MaTGA,349,0,151,0
27,1.11E-05,0,0,0.004895538,16.39711906,114362.7941,0,0,1.70E-05,,,,,,,MFEA,500,0,0,0
28,1.31E-05,0,0,0.003969336,17.11016219,113960.5296,0,0,1.91E-05,,,,,,,MTEA-AD,500,0,0,0
29,1.21E-05,0,0,0.004950745,17.01730517,117267.4327,0,0,1.76E-05,,,,,,,SM-MFEA,147,212,141,0
30,1.30E-05,0,0,0.004819873,17.72487913,116546.6696,0,0,1.82E-05,,,,,,,SBGA,412,0,88,
31,1.46E-05,0,0,0.003035305,16.404911,116574.3068,0,0,1.54E-05,,,,,,,,,,,
32,1.13E-05,0,0,0.003854075,16.79807875,115182.6482,0,0,1.69E-05,,,,,,,,,,,
